ID,Name,Style,EP
1200,Ulpius Tiberius,Karatejutsu,1.0
1200,Ulpius Tiberius,Aikijutsu,1.0
1200,Ulpius Tiberius,Polearm,3.0946129280584751
1200,Ulpius Tiberius,Great Weapon,1.0
1200,Ulpius Tiberius,Boxing,7.0739865654222553
1200,Ulpius Tiberius,Thrown Blade,1.0
1200,Ulpius Tiberius,Kenjutsu,1.0
1200,Ulpius Tiberius,General,2.3001275274493898
1200,Ulpius Tiberius,Florentine,1.0
1200,Ulpius Tiberius,Naginata,1.0
1200,Ulpius Tiberius,Riding,1.0
1200,Ulpius Tiberius,Bow,3.8454195096442616
1200,Ulpius Tiberius,Chivalric,3.0457615260925825
1200,Ulpius Tiberius,Staff,1.0
1564,Cassius Celer,Karatejutsu,1.0
1564,Cassius Celer,Aikijutsu,1.0
1564,Cassius Celer,Polearm,3.8374807464762219
1564,Cassius Celer,Great Weapon,1.0
1564,Cassius Celer,Boxing,1.0
1564,Cassius Celer,Thrown Blade,1.0
1564,Cassius Celer,Kenjutsu,1.0
1564,Cassius Celer,General,4.5184775831424382
1564,Cassius Celer,Florentine,1.0
1564,Cassius Celer,Naginata,1.0
1564,Cassius Celer,Riding,1.0
1564,Cassius Celer,Bow,7.4190451396399064
1564,Cassius Celer,Chivalric,5.1187153393756102
1564,Cassius Celer,Staff,1.0
1524,Popillius Syphax,Karatejutsu,1.0
1524,Popillius Syphax,Aikijutsu,1.0
1524,Popillius Syphax,Polearm,4.5705104944391657
1524,Popillius Syphax,Great Weapon,1.0
1524,Popillius Syphax,Boxing,6.1718469242519065
1524,Popillius Syphax,Thrown Blade,1.0
1524,Popillius Syphax,Kenjutsu,1.0
1524,Popillius Syphax,General,4.3590569708201432
1524,Popillius Syphax,Florentine,1.0
1524,Popillius Syphax,Naginata,1.0
1524,Popillius Syphax,Riding,1.0
1524,Popillius Syphax,Bow,11.937312699977209
1524,Popillius Syphax,Chivalric,5.6466497011762451
1524,Popillius Syphax,Staff,1.0
1525,Gellius Servius,Karatejutsu,1.0
1525,Gellius Servius,Aikijutsu,1.0
1525,Gellius Servius,Polearm,2.9648664179862836
1525,Gellius Servius,Great Weapon,1.0
1525,Gellius Servius,Boxing,3.1411454554345726
1525,Gellius Servius,Thrown Blade,1.0
1525,Gellius Servius,Kenjutsu,1.0
1525,Gellius Servius,General,3.2065014383544113
1525,Gellius Servius,Florentine,1.0
1525,Gellius Servius,Naginata,1.0
1525,Gellius Servius,Riding,1.0
1525,Gellius Servius,Bow,1.8920878537403554
1525,Gellius Servius,Chivalric,3.1696769204865385
1525,Gellius Servius,Staff,1.0
1526,Salvius Caecilius,Karatejutsu,1.0
1526,Salvius Caecilius,Aikijutsu,1.0
1526,Salvius Caecilius,Polearm,2.6072572703231769
1526,Salvius Caecilius,Great Weapon,1.0
1526,Salvius Caecilius,Boxing,1.0
1526,Salvius Caecilius,Thrown Blade,1.0
1526,Salvius Caecilius,Kenjutsu,1.0
1526,Salvius Caecilius,General,6.8590418268507571
1526,Salvius Caecilius,Florentine,1.0
1526,Salvius Caecilius,Naginata,1.0
1526,Salvius Caecilius,Riding,1.0
1526,Salvius Caecilius,Bow,5.029178695963604
1526,Salvius Caecilius,Chivalric,8.8239788629197236
1526,Salvius Caecilius,Staff,1.0
1527,Memmius Vibius,Karatejutsu,1.0
1527,Memmius Vibius,Aikijutsu,1.0
1527,Memmius Vibius,Polearm,5.9135493738393725
1527,Memmius Vibius,Great Weapon,1.0
1527,Memmius Vibius,Boxing,1.0
1527,Memmius Vibius,Thrown Blade,1.0
1527,Memmius Vibius,Kenjutsu,1.0
1527,Memmius Vibius,General,3.4656010675512241
1527,Memmius Vibius,Florentine,1.0
1527,Memmius Vibius,Naginata,1.0
1527,Memmius Vibius,Riding,1.0
